Date,Open,High,Low,Close,Volume,ticker
02/02/2023,106.98,106.98,106.98,106.98,0,IDCOT7TR:PSE
01/02/2023,107.01,107.01,107,107,0,IDCOT7TR:PSE
31/01/2023,106.22,106.22,106.21,106.21,0,IDCOT7TR:PSE
30/01/2023,105.72,105.72,105.72,105.72,0,IDCOT7TR:PSE
27/01/2023,106.02,106.03,106.02,106.03,0,IDCOT7TR:PSE
26/01/2023,106.18,106.19,106.18,106.19,0,IDCOT7TR:PSE
25/01/2023,106.56,106.57,106.56,106.57,0,IDCOT7TR:PSE
24/01/2023,106.46,106.46,106.46,106.46,0,IDCOT7TR:PSE
23/01/2023,105.87,105.87,105.87,105.87,0,IDCOT7TR:PSE
20/01/2023,106.19,106.19,106.19,106.19,0,IDCOT7TR:PSE
19/01/2023,106.89,106.89,106.89,106.89,0,IDCOT7TR:PSE
18/01/2023,107.1,107.1,107.09,107.09,0,IDCOT7TR:PSE
17/01/2023,105.73,105.73,105.72,105.72,0,IDCOT7TR:PSE
13/01/2023,106.01,106.02,106.01,106.02,0,IDCOT7TR:PSE
12/01/2023,106.53,106.54,106.53,106.54,0,IDCOT7TR:PSE
11/01/2023,105.63,105.63,105.63,105.63,0,IDCOT7TR:PSE
10/01/2023,104.98,104.98,104.98,104.98,0,IDCOT7TR:PSE
09/01/2023,105.64,105.64,105.64,105.64,0,IDCOT7TR:PSE
06/01/2023,105.32,105.32,105.32,105.32,0,IDCOT7TR:PSE
05/01/2023,104,104,103.99,103.99,0,IDCOT7TR:PSE
04/01/2023,104.15,104.15,104.15,104.15,0,IDCOT7TR:PSE
03/01/2023,103.38,103.38,103.38,103.38,0,IDCOT7TR:PSE
29/12/2023,"10,944.97","10,944.97","10,944.97","10,944.97",0,FTXIN0H:FSI
28/12/2023,"10,937.86","10,937.86","10,937.86","10,937.86",0,FTXIN0H:FSI
27/12/2023,"10,621.88","10,621.88","10,621.88","10,621.88",0,FTXIN0H:FSI
22/12/2023,"10,387.45","10,387.45","10,387.45","10,387.45",0,FTXIN0H:FSI
21/12/2023,"10,732.61","10,732.61","10,732.61","10,732.61",0,FTXIN0H:FSI
20/12/2023,"10,707.57","10,707.57","10,707.57","10,707.57",0,FTXIN0H:FSI
19/12/2023,"10,657.42","10,657.42","10,657.42","10,657.42",0,FTXIN0H:FSI
18/12/2023,"10,742.67","10,742.67","10,742.67","10,742.67",0,FTXIN0H:FSI
